"","qb","att","cmp","yds","ypa","td","int","sack","loss","game_points","experience","Ht","Wt","Forty","Vertical","BroadJump","Cone","Shuttle","Year","AV","Round"
"79","Luke McCown",9.83333333333333,6.16666666666667,62.75,6.38135593220339,0,0.416666666666667,0.583333333333333,3.75,11.1666666666667,12,76,208,4.71,37.5,125,6.74,4.21,2004,6,4
"80","Marc Bulger",24.7,14,146.9,5.94736842105263,0.5,0.6,1.4,8.5,11.3,10,74,208,4.97,31.6075268817204,100,7.46,4.34,2000,31,6
"81","Marcus Mariota",410.5,253,3122,7.60535931790499,22.5,9.5,30.5,207,306.5,2,76,222,4.52,36,121,6.87,4.11,2015,34,1
"82","Mark Sanchez",285.625,161.875,1902.375,6.66039387308534,10.75,10.75,20.125,131,207.625,8,74,227,4.93,32.5,116,7.06,4.21,2009,24,1
"84","Matt Flynn",50.2857142857143,31,362.142857142857,7.20170454545455,2.42857142857143,1.57142857142857,5.57142857142857,29.8571428571429,136,7,74,231,4.79,28,109,7.21,4.34,2008,1,7
"85","Matt Gutierrez",0.333333333333333,0.333333333333333,1,3,0,0,0,0,2.33333333333333,3,76,232,5,29.5,108,6.99,4.28,2007,0,8
"87","Matt Ryan",514.444444444444,335.888888888889,3806.77777777778,7.39978401727862,24.8888888888889,11.4444444444444,26.4444444444444,175.222222222222,353.444444444444,9,77,228,4.89,31.6075268817204,110.94623655914,7.4,4.51,2008,40,1
"88","Matt Schaub",188,120.461538461538,1426.92307692308,7.59001636661211,7.92307692307692,5,9.76923076923077,69.3846153846154,137,13,78,243,5.04,30.5,110,7.65,4.62,2004,4,3
"89","Matthew Stafford",531.375,327,3758.5,7.0731592566455,23.25,13.125,30.125,194.75,313.375,8,74,225,4.81,30.5,107,7.06,4.47,2009,21,1
"90","Max Hall",78,39,370,4.74358974358974,1,6,14,90,98,1,73,209,4.84,32,102,7.07,4.35,2010,1,8
"92","Mike Glennon",157.5,93.5,1025,6.50793650793651,7.5,3.75,14,101.25,100.25,4,79,225,4.94,26.5,102,7.49,4.52,2013,11,3
"93","Mike Kafka",8,5.5,53.5,6.6875,0,1,0.5,3,23.5,2,75,225,4.93,32,110,6.96,4.37,2010,0,4
"94","Nick Foles",257,155.2,1843,7.17120622568093,11.2,5.4,15,102,197,5,77,243,5.03,30.5,112,7.11139784946237,4.3052688172043,2012,20,3
"95","Pat White",5,0,0,0,0,0,1,9,73,1,72,197,4.55,35,117,7.06,4.42,2009,1,2
"96","Paxton Lynch",83,49,497,5.98795180722892,2,1,9,42,63,1,79,244,4.86,36,118,7.14,4.26,2016,2,1
"98","Rex Grossman",66.6666666666667,38,452,6.78,2.55555555555556,2.77777777777778,3.77777777777778,30.8888888888889,40.4444444444444,9,73,217,5.06,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2003,3,1
"99","Russell Wilson",456.2,295.2,3638.6,7.97588776852258,25.4,9,41,255,400,5,71,204,4.53,34,118,6.97,4.09,2012,51,3
"100","Ryan Fitzpatrick",280.75,168.166666666667,1933.83333333333,6.88809735826655,12.8333333333333,9.66666666666667,14.75,79,194.25,12,74,232,4.86,30.5,105,7.09,4.07,2005,3,7
"101","Ryan Lindley",68.5,35,343,5.00729927007299,0.75,2.75,4.5,34.25,39.5,4,76,229,4.86,29.5,108,7.52,4.45,2012,-4,6
"102","Ryan Mallett",54.8333333333333,30.1666666666667,296.5,5.40729483282675,1.16666666666667,1.66666666666667,1.16666666666667,6.16666666666667,54.1666666666667,6,79,253,5.37,24,103,7.11139784946237,4.3052688172043,2011,4,3
"103","Ryan Nassib",3.33333333333333,3,42.6666666666667,12.8,0.333333333333333,0,0.666666666666667,3.66666666666667,5.66666666666667,3,74,227,5.06,28.5,105,7.34,4.53,2013,0,4
"105","Sam Bradford",406.285714285714,253.285714285714,2666.71428571429,6.56364275668073,14,8.14285714285714,26.4285714285714,185.428571428571,215.285714285714,7,76,236,4.79,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2010,21,1
"106","Scott Tolzien",21.3333333333333,13.1666666666667,156.166666666667,7.3203125,0.333333333333333,1.16666666666667,1.16666666666667,9.16666666666667,18,6,74,212,4.92,29.5,116,6.84,4.12,2011,2,8
"107","Sean Mannion",6.5,4.5,25,3.84615384615385,0,0.5,0,0,6.5,2,78,229,5.14,31,105,7.29,4.39,2015,1,3
"109","Seneca Wallace",32,19.3636363636364,190.909090909091,5.96590909090909,0.818181818181818,0.636363636363636,2.27272727272727,13.3636363636364,27.8181818181818,11,71,196,4.56,38,127,6.98,4.14,2003,5,4
"110","Stephen McGee",27.3333333333333,15.3333333333333,140,5.1219512195122,1,0,2,16.6666666666667,15.6666666666667,3,75,225,4.61,33,112,7.34,4.49,2009,2,4
"111","Tarvaris Jackson",54.9,33.4,382.1,6.95992714025501,1.9,1.7,4.9,34.2,83.5,10,74,226,4.69,31.5,107,7.4,4.38,2006,11,2
"112","Teddy Bridgewater",424.5,275.5,3075,7.24381625441696,14,10.5,41.5,278,319.5,2,74,214,4.82128712871287,30,113,7.17,4.2,2014,22,1
"114","Tim Tebow",120.333333333333,57.6666666666667,807.333333333333,6.70914127423823,5.66666666666667,3,13.6666666666667,86,157,3,75,236,4.71,38.5,115,6.66,4.17,2010,12,1
"115","Tom Brady",268.882352941176,173.117647058824,2066.82352941176,7.68672063005907,15.2352941176471,3.88235294117647,12.5882352941176,77.5294117647059,220.705882352941,17,76,211,5.28,24.5,99,7.2,4.38,2000,25,6
"116","Tom Brandstater",0.666666666666667,0,0,0,0,0,0,0,9,3,77,220,4.87,28.5,106,6.93,4.37,2009,0,6
"117","Tom Savage",30.6666666666667,18.6666666666667,196,6.39130434782609,0,0.333333333333333,2,13.6666666666667,20,3,76,228,4.97,27,105,7.33,4.36,2014,4,4
"118","Tony Pike",12,6,47,3.91666666666667,0,0,1,10,3,1,78,223,4.9,28.5,108,7.06,4.53,2010,0,6
"119","Tony Romo",212.785714285714,141,1670.71428571429,7.85162806310843,11.6428571428571,4.85714285714286,12.9285714285714,88.2142857142857,153.5,14,74,230,5.01,30,105,7.11,4.2,2003,12,8
"120","Trent Edwards",47.6666666666667,27.8333333333333,284,5.95804195804196,1.33333333333333,2,5.66666666666667,39,27.3333333333333,6,76,231,4.76,31.6075268817204,110.94623655914,7.14,4.46,2007,16,3
"122","Troy Smith",38.5,19.5,300,7.79220779220779,1.25,1.25,4.5,28,55,4,72,225,4.72,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2007,2,5
"123","Tyler Palko",28,16.8,166.2,5.93571428571429,0.4,1.4,2.6,18.6,11,5,73,215,4.83,31.5,112,7.05,4.36,2007,2,8
"124","Tyrod Taylor",141.833333333333,88.3333333333333,1042.83333333333,7.35252643948296,6.16666666666667,2.33333333333333,13.8333333333333,72.8333333333333,145.333333333333,6,73,217,4.47,37.5,126,6.78,4.09,2011,1,6
"126","Zach Mettenberger",172.5,104,1173.5,6.80289855072464,6,7,15.5,118,92.5,2,77,224,4.82128712871287,31.6075268817204,110.94623655914,7.11139784946237,4.3052688172043,2014,1,6
